"year","miles","price","type","fuel"
2005,91000,1795,"trade","petrol"
2005,113452,1900,"private","petrol"
2005,114000,1945,"trade","petrol"
2005,157000,1989,"trade","petrol"
2005,117000,2000,"trade","petrol"
2005,98000,2195,"private","petrol"
2005,91000,2250,"private","petrol"
2005,88000,2295,"trade","petrol"
2005,72150,2350,"trade","petrol"
2005,110000,2350,"trade","petrol"
2005,89786,2350,"trade","petrol"
2005,90000,2395,"trade","petrol"
2005,124000,2400,"private","petrol"
2005,89000,2450,"trade","petrol"
2005,115000,2475,"trade","petrol"
2005,84630,2490,"trade","petrol"
2005,90000,2490,"trade","petrol"
2005,83498,2490,"trade","petrol"
2005,80000,2490,"trade","petrol"
2005,69000,2495,"trade","petrol"
2005,74300,2495,"trade","petrol"
2005,57000,2495,"trade","petrol"
2005,108127,2495,"trade","petrol"
2005,76000,2495,"trade","petrol"
2005,85000,2595,"trade","petrol"
2005,107000,2595,"trade","petrol"
2005,82318,2600,"private","petrol"
2005,86000,2625,"trade","petrol"
2005,77700,2650,"private","petrol"
2005,123000,2695,"trade","petrol"
2005,89000,2695,"trade","petrol"
2005,89000,2750,"trade","petrol"
2005,79000,2775,"trade","petrol"
2005,84000,2790,"trade","petrol"
2005,92000,2795,"trade","petrol"
2005,100000,2795,"trade","petrol"
2005,80000,2795,"trade","petrol"
2005,95000,2795,"trade","petrol"
2005,95000,2795,"trade","petrol"
2005,80000,2795,"trade","petrol"
2005,69000,2795,"trade","petrol"
2005,66898,2803,"trade","petrol"
2005,73000,2850,"trade","petrol"
2005,84000,2875,"trade","petrol"
2005,85000,2890,"trade","petrol"
2005,74000,2895,"trade","petrol"
2005,97537,2895,"trade","petrol"
2005,84752,2895,"trade","petrol"
2005,72928,2990,"trade","petrol"
2005,76000,2990,"trade","petrol"
2005,59000,2990,"trade","petrol"
2005,82261,2990,"trade","petrol"
2005,89000,2990,"trade","petrol"
2005,55000,2991,"trade","petrol"
2005,92959,2991,"trade","petrol"
2005,61000,2991,"trade","petrol"
2005,94000,2994,"trade","petrol"
2005,64000,2995,"trade","petrol"
2005,85800,2995,"trade","petrol"
2005,78000,2995,"trade","petrol"
2005,75341,2995,"trade","petrol"
2005,90000,2995,"trade","petrol"
2005,67104,2995,"trade","petrol"
2005,76528,2995,"trade","petrol"
2005,96500,2995,"trade","petrol"
2005,69452,2995,"trade","petrol"
2005,76000,2995,"trade","petrol"
2005,76500,2995,"trade","petrol"
2005,85638,2995,"trade","petrol"
2005,92000,2999,"trade","petrol"
2005,90000,3000,"trade","petrol"
2005,91000,3000,"trade","petrol"
2005,72000,3000,"trade","petrol"
2005,66719,3000,"trade","petrol"
2005,38702,3000,"trade","petrol"
2005,74334,3000,"trade","petrol"
2005,70000,3000,"trade","petrol"
2005,75810,3175,"trade","petrol"
2005,80657,3195,"trade","petrol"
2005,72291,3195,"trade","petrol"
2005,89500,3195,"trade","petrol"
2005,70000,3200,"trade","petrol"
2005,69000,3281,"trade","petrol"
2005,74061,3290,"trade","petrol"
2005,76000,3295,"trade","petrol"
2005,78369,3295,"trade","petrol"
2005,66000,3295,"trade","petrol"
2005,68000,3295,"trade","petrol"
2005,65000,3295,"trade","petrol"
2005,92000,3295,"trade","petrol"
2005,60000,3295,"trade","petrol"
2005,94696,3295,"trade","petrol"
2005,77000,3295,"trade","petrol"
2005,85000,3295,"trade","petrol"
2005,73000,3299,"trade","petrol"
2005,82000,3400,"trade","petrol"
2005,68629,3450,"trade","petrol"
2005,96438,3482,"trade","petrol"
2005,77000,3494,"trade","petrol"
2005,63000,3495,"trade","petrol"
2005,77000,3495,"trade","petrol"
2005,80000,3495,"trade","petrol"
2005,54071,3495,"trade","petrol"
2005,62000,3495,"trade","petrol"
2005,69700,3495,"trade","petrol"
2005,98264,3499,"trade","petrol"
2005,76200,3499,"trade","petrol"
2005,21298,3499,"trade","petrol"
2005,60000,3500,"trade","petrol"
2005,80000,3500,"trade","petrol"
2005,68432,3690,"trade","petrol"
2005,34000,3694,"trade","petrol"
2005,64000,3695,"trade","petrol"
2005,74036,3695,"trade","petrol"
2005,77500,3695,"trade","petrol"
2005,49803,3695,"trade","petrol"
2005,54524,3695,"trade","petrol"
2005,84000,3695,"trade","petrol"
2005,71000,3695,"trade","petrol"
2005,60450,3699,"trade","petrol"
2005,57000,3795,"trade","petrol"
2005,52930,3795,"trade","petrol"
2005,69000,3795,"trade","petrol"
2005,69021,3795,"trade","petrol"
2005,59000,3795,"trade","petrol"
2005,61425,3795,"trade","petrol"
2005,59000,3799,"trade","petrol"
2005,63000,3888,"trade","petrol"
2005,69800,3890,"trade","petrol"
2005,45200,3895,"trade","petrol"
2005,62000,3900,"trade","petrol"
2005,54000,3970,"trade","petrol"
2005,54000,3985,"trade","petrol"
2005,34000,3990,"trade","petrol"
2005,53000,3990,"trade","petrol"
2005,67000,3991,"trade","petrol"
2005,48000,3995,"trade","petrol"
2005,54000,3995,"trade","petrol"
2005,48000,3995,"trade","petrol"
2005,58000,3995,"trade","petrol"
2005,39000,3995,"trade","petrol"
2005,91000,3995,"trade","petrol"
2005,62000,3995,"trade","petrol"
2005,58000,3995,"trade","petrol"
2005,45382,4000,"trade","petrol"
2005,69756,4000,"trade","petrol"
2005,59153,4000,"trade","petrol"
2005,43000,4190,"trade","petrol"
2005,55288,4288,"trade","petrol"
2005,61000,4295,"trade","petrol"
2005,55000,4295,"trade","petrol"
2005,55000,4295,"trade","petrol"
2005,51700,4390,"trade","petrol"
2004,47000,2590,"trade","diesel"
2004,63000,2995,"trade","diesel"
2004,64000,3485,"trade","diesel"
2004,64017,3295,"trade","diesel"
2004,64017,3295,"trade","diesel"
2004,69000,2545,"trade","diesel"
2004,69471,2871,"trade","diesel"
2004,70774,2951,"trade","diesel"
2004,72000,2195,"trade","diesel"
2004,72000,2690,"trade","diesel"
2004,75000,3250,"trade","diesel"
2004,75431,1795,"trade","diesel"
2004,80000,1495,"private","diesel"
2004,80000,2495,"trade","diesel"
2004,81000,1995,"trade","diesel"
2004,82000,2495,"trade","diesel"
2004,88000,2295,"trade","diesel"
2004,89000,1789,"trade","diesel"
2004,89600,1995,"trade","diesel"
2004,90000,1795,"trade","diesel"
2004,92143,2395,"trade","diesel"
2004,92239,1895,"trade","diesel"
2004,94000,1250,"trade","diesel"
2004,94000,1695,"trade","diesel"
2004,94000,2495,"trade","diesel"
2004,94500,1800,"private","diesel"
2004,95000,1999,"trade","diesel"
2004,98000,2295,"trade","diesel"
2004,100000,1499,"trade","diesel"
2004,100000,1550,"trade","diesel"
2004,100000,2489,"trade","diesel"
2004,100000,2490,"trade","diesel"
2004,104000,2000,"trade","diesel"
2004,104584,2475,"trade","diesel"
2004,105000,1525,"private","diesel"
2004,105000,2495,"trade","diesel"
2004,107000,1290,"trade","diesel"
2004,107000,1795,"trade","diesel"
2004,108000,1880,"private","diesel"
2004,108800,1990,"trade","diesel"
2004,110000,1195,"trade","diesel"
2004,110000,1390,"trade","diesel"
2004,110000,1750,"trade","diesel"
2004,111000,1787,"trade","diesel"
2004,112000,1770,"trade","diesel"
2004,120000,2500,"trade","diesel"
2004,123000,1600,"trade","diesel"
2004,129000,995,"trade","diesel"
2004,129300,1495,"trade","diesel"
2004,130000,2295,"trade","diesel"
2004,133974,1675,"private","diesel"
2004,134849,1200,"trade","diesel"
2004,134998,2000,"trade","diesel"
2004,135933,1699,"trade","diesel"
2004,137000,1595,"trade","diesel"
2004,140000,1475,"trade","diesel"
2004,144000,999,"trade","diesel"
2004,146000,1199,"trade","diesel"
2004,149000,1650,"trade","diesel"
2004,150000,1290,"trade","diesel"
2004,157000,1200,"private","diesel"
2004,162000,995,"trade","diesel"
2004,171750,995,"private","diesel"
